Location,Item,Sale Department,Master Sale Department,DOB,Quantity,Net Amount,Gross Amount,Item Number
317 Marketplace,"Philly Cheesesteak","Food","FOOD",2/26/2018,3,17.25,23.25,392
317 Marketplace,"Philly Cheesesteak - REG-Avocado","Food","FOOD",2/26/2018,1,1,1,0
317 Marketplace,"Pickles","Food","FOOD",2/26/2018,11,0,0,1640
317 Marketplace,"Provolone","Food","FOOD",2/26/2018,4,0,0,1475
317 Marketplace,"PX Loyalty","Retail","RETAIL",2/26/2018,56,0,0,80020
317 Marketplace,"PX Point Accrual","Retail","RETAIL",2/26/2018,44,0,0,80010
317 Marketplace,"Ranch","Food","FOOD",2/26/2018,3,0,0,1600
317 Marketplace,"Red Onions","Food","FOOD",2/26/2018,2,0,0,1620
317 Marketplace,"REG Black Bean Patty","Food","FOOD",2/26/2018,2,12,12,325
317 Marketplace,"REG Black Bean Patty - REG-Avocado","Food","FOOD",2/26/2018,1,1,1,0
317 Marketplace,"REG Buff Chicken","Food","FOOD",2/26/2018,5,30,30,230
317 Marketplace,"REG Buff Chicken - REG-Avocado","Food","FOOD",2/26/2018,1,1,1,0
317 Marketplace,"REG Caprese","Food","FOOD",2/26/2018,1,6,6,305
317 Marketplace,"REG Chicken","Food","FOOD",2/26/2018,4,24,24,225
317 Marketplace,"REG Chicken - REG-Avocado","Food","FOOD",2/26/2018,1,1,1,0
317 Marketplace,"REG Chicken - REG-Bacon","Food","FOOD",2/26/2018,1,1,1,0
317 Marketplace,"REG Chicken Cordon Bleu","Food","FOOD",2/26/2018,2,12,12,245
317 Marketplace,"REG Chicken Pesto","Food","FOOD",2/26/2018,2,12,12,365
317 Marketplace,"REG Chicken Salad","Food","FOOD",2/26/2018,1,6,6,395
317 Marketplace,"REG Club","Food","FOOD",2/26/2018,7,42,42,430
317 Marketplace,"REG Corned Beef","Food","FOOD",2/26/2018,2,9,12,190
317 Marketplace,"REG Corned Beef - REG-Double Meat","Food","FOOD",2/26/2018,1,1.5,2,0
317 Marketplace,"REG Egg Salad","Food","FOOD",2/26/2018,1,6,6,390
317 Marketplace,"REG Grinder","Food","FOOD",2/26/2018,4,24,24,345
317 Marketplace,"REG Ham","Food","FOOD",2/26/2018,3,18,18,145
317 Marketplace,"REG Meatball","Food","FOOD",2/26/2018,2,12,12,350
317 Marketplace,"REG Muffuletta","Food","FOOD",2/26/2018,2,12,12,355
317 Marketplace,"REG Pepperoni Pizzawich","Food","FOOD",2/26/2018,3,12,18,360
317 Marketplace,"REG Roast Beef","Food","FOOD",2/26/2018,2,12,12,185
317 Marketplace,"REG Tuna Salad","Food","FOOD",2/26/2018,2,9,12,265
317 Marketplace,"REG Turkey","Food","FOOD",2/26/2018,25,138.86,150,105
317 Marketplace,"REG Turkey - REG-Avocado","Food","FOOD",2/26/2018,3,3,3,0
317 Marketplace,"REG Turkey - REG-Bacon","Food","FOOD",2/26/2018,3,2.14,3,0
317 Marketplace,"REG Turkey - REG-Double Cheese","Food","FOOD",2/26/2018,1,1,1,0
317 Marketplace,"REG Turkey - REG-Double Meat","Food","FOOD",2/26/2018,2,4,4,0
317 Marketplace,"REG Turkey - REG-Sliced Egg","Food","FOOD",2/26/2018,1,1,1,0
317 Marketplace,"REG Turkeywich","Food","FOOD",2/26/2018,2,6,12,120
317 Marketplace,"REG Wicked","Food","FOOD",2/26/2018,8,56,56,98
317 Marketplace,"Regular Mayo","Food","FOOD",2/26/2018,5,0,0,1540
317 Marketplace,"Roast Beef","Food","FOOD",2/26/2018,1,0,0,185
317 Marketplace,"Roasted Red Peppers","Food","FOOD",2/26/2018,1,0,0,0
317 Marketplace,"Salt","Food","FOOD",2/26/2018,8,0,0,1715
317 Marketplace,"Salt & Vinegar Kettle","Food","FOOD",2/26/2018,2,0,0,1988
317 Marketplace,"Sauerkraut","Food","FOOD",2/26/2018,1,0,0,1685
317 Marketplace,"SLD Black Bean Patty","Food","FOOD",2/26/2018,1,1,7,1145
317 Marketplace,"SLD Chicken Pesto","Food","FOOD",2/26/2018,1,7,7,1185
317 Marketplace,"SLD Turkey","Food","FOOD",2/26/2018,1,7,7,925
317 Marketplace,"SLD Turkey - REG-Sliced Egg","Food","FOOD",2/26/2018,1,1,1,0
317 Marketplace,"Soda","Beverages","NA BEVERAGE",2/26/2018,1,0,0,1375
317 Marketplace,"Spicy Ranch","Food","FOOD",2/26/2018,1,0,0,1601
317 Marketplace,"Spinach","Food","FOOD",2/26/2018,2,0,0,1656
317 Marketplace,"SUP Chicken","Food","FOOD",2/26/2018,3,35.25,35.25,635
317 Marketplace,"SUP Club","Food","FOOD",2/26/2018,1,11.75,11.75,840
317 Marketplace,"SUP French Dip","Food","FOOD",2/26/2018,1,11.75,11.75,855
317 Marketplace,"SUP Grinder","Food","FOOD",2/26/2018,1,11.75,11.75,755
317 Marketplace,"SUP Turkey","Food","FOOD",2/26/2018,2,23.5,23.5,515
317 Marketplace,"SUP Turkey - SUP-Bacon","Food","FOOD",2/26/2018,1,2,2,0
317 Marketplace,"SUP Wicked","Food","FOOD",2/26/2018,3,41.25,41.25,507
317 Marketplace,"Superfood Wich","Food","FOOD",2/26/2018,2,15.5,15.5,2312
317 Marketplace,"Swiss","Food","FOOD",2/26/2018,4,0,0,1465
317 Marketplace,"The Reuben","Food","FOOD",2/26/2018,7,54.25,54.25,388
317 Marketplace,"Tomato","Food","FOOD",2/26/2018,9,0,0,1635
317 Marketplace,"Traditional Tray Regular","Catering","CATERING",2/26/2018,1,70,70,7010
317 Marketplace,"Tzatziki","Food","FOOD",2/26/2018,1,0,0,1602
317 Marketplace,"Ultimate BLT","Food","FOOD",2/26/2018,1,7.75,7.75,411
317 Marketplace,"Vinegar","Food","FOOD",2/26/2018,3,0,0,1700
317 Marketplace,"Wheat Bread","Food","FOOD",2/26/2018,5,0,0,1515
317 Marketplace,"White Bread","Food","FOOD",2/26/2018,7,0,0,1510
317 Marketplace,"Wrap Black Bean","Food","FOOD",2/26/2018,1,6,6,9153
317 Marketplace,"Wrap Turkey","Food","FOOD",2/26/2018,3,18,18,9101
317 Marketplace,"Wrap Turkey - REG-Double Meat","Food","FOOD",2/26/2018,1,2,2,0
317 Marketplace,"Yellow Mustard","Food","FOOD",2/26/2018,1,0,0,1520
317 Marketplace,"16oz Shake","Beverages","NA BEVERAGE",2/27/2018,6,19.5,19.5,342
317 Marketplace,"16oz Shake - 16oz Chocolate","Beverages","NA BEVERAGE",2/27/2018,1,0,0,0
317 Marketplace,"16oz Shake - 16oz Oreo","Beverages","NA BEVERAGE",2/27/2018,2,0,0,0
317 Marketplace,"16oz Shake - 16oz Strawberry","Beverages","NA BEVERAGE",2/27/2018,2,0,0,0
317 Marketplace,"16oz Shake - 16oz Vanilla","Beverages","NA BEVERAGE",2/27/2018,1,0,0,0
317 Marketplace,"22oz Fountain Drink","Beverages","NA BEVERAGE",2/27/2018,27,40.3,54,251
317 Marketplace,"32oz  Fountain Drink","Beverages","NA BEVERAGE",2/27/2018,13,29.25,29.25,1752
317 Marketplace,"32oz Refill","Beverages","NA BEVERAGE",2/27/2018,3,5.25,5.25,644
317 Marketplace,"32oz Shake","Beverages","NA BEVERAGE",2/27/2018,1,5.25,5.25,9002
317 Marketplace,"32oz Shake - 32oz Chocolate","Beverages","NA BEVERAGE",2/27/2018,1,0,0,0
317 Marketplace,"American","Food","FOOD",2/27/2018,1,0,0,1460
317 Marketplace,"Avocado","Food","FOOD",2/27/2018,1,0,0,1415
317 Marketplace,"Banana Peppers","Food","FOOD",2/27/2018,3,0,0,1666
317 Marketplace,"Bell Peppers","Food","FOOD",2/27/2018,1,0,0,1665
317 Marketplace,"Black Olives","Food","FOOD",2/27/2018,1,0,0,1670
317 Marketplace,"Blue Cheese","Food","FOOD",2/27/2018,1,0,0,1462
317 Marketplace,"Can Drink","Beverages","NA BEVERAGE",2/27/2018,2,3,3,1770
317 Marketplace,"Cheddar","Food","FOOD",2/27/2018,1,0,0,1470
317 Marketplace,"Chef Salad","Catering","CATERING",2/27/2018,1,65,65,7040
317 Marketplace,"Chipotle Mayo","Food","FOOD",2/27/2018,1,0,0,1547
317 Marketplace,"Chips","Food","FOOD",2/27/2018,99,109.37,123.75,1425
317 Marketplace,"Choc Milk","Beverages","NA BEVERAGE",2/27/2018,1,0,0,1365
317 Marketplace,"Chocolate Chip","Food","FOOD",2/27/2018,11,0,0,1436
317 Marketplace,"Classic Box Lunch","Catering","CATERING",2/27/2018,11,93.5,93.5,7271
317 Marketplace,"Cobb Salad Wrap","Food","FOOD",2/27/2018,3,22.5,22.5,2324
317 Marketplace,"Coldwich","Food","FOOD",2/27/2018,4,0,0,1732
317 Marketplace,"Courtney's Cake","Food","FOOD",2/27/2018,6,9.75,11.7,60001
317 Marketplace,"Courtney's Cookie","Food","FOOD",2/27/2018,4,3,6,1447
317 Marketplace,"Cranberry","Food","FOOD",2/27/2018,1,0,0,1684
317 Marketplace,"Crispy Strings","Food","FOOD",2/27/2018,2,0,0,1625
317 Marketplace,"CrushRed Pepp","Food","FOOD",2/27/2018,1,0,0,1730
317 Marketplace,"Cucumbers","Food","FOOD",2/27/2018,2,0,0,1650
317 Marketplace,"Deli Mustard","Food","FOOD",2/27/2018,1,0,0,1535
317 Marketplace,"Doritos","Food","FOOD",2/27/2018,1,0,0,1984
317 Marketplace,"Drink","Beverages","NA BEVERAGE",2/27/2018,38,0,0,1746
317 Marketplace,"Drink - 22oz Fountain Drink","Beverages","NA BEVERAGE",2/27/2018,27,42,54,0
317 Marketplace,"Drink - 32oz  Fountain Drink","Beverages","NA BEVERAGE",2/27/2018,8,15.75,18,0
317 Marketplace,"Drink - 32oz Refill","Beverages","NA BEVERAGE",2/27/2018,3,5.25,5.25,0
317 Marketplace,"Garlic","Food","FOOD",2/27/2018,1,0,0,1725
317 Marketplace,"Grilled Cheese","Food","FOOD",2/27/2018,3,15,15,1335
317 Marketplace,"Gyro Favorite","Food","FOOD",2/27/2018,4,31,31,386
317 Marketplace,"Gyro Favorite - REG-Double Meat","Food","FOOD",2/27/2018,1,2,2,0
317 Marketplace,"Ham","Food","FOOD",2/27/2018,1,0,0,145
317 Marketplace,"Hot Pepper Mix","Food","FOOD",2/27/2018,1,0,0,1690
317 Marketplace,"Hotwich","Food","FOOD",2/27/2018,9,0,0,1731
317 Marketplace,"Italian Club","Food","FOOD",2/27/2018,7,52.81,54.25,2314
317 Marketplace,"Italian Club - Make it a Large","Food","FOOD",2/27/2018,2,6,6,0
317 Marketplace,"Jalapenos","Food","FOOD",2/27/2018,3,0,0,1660
317 Marketplace,"Juice","Beverages","NA BEVERAGE",2/27/2018,1,0,0,1370
317 Marketplace,"Kids Rollups","Food","FOOD",2/27/2018,1,5,5,1326
317 Marketplace,"Lettuce","Food","FOOD",2/27/2018,9,0,0,1630
317 Marketplace,"Lettucewich Black Bean","Food","FOOD",2/27/2018,1,6,6,9653
317 Marketplace,"Lettucewich Caprese","Food","FOOD",2/27/2018,1,6,6,9652
317 Marketplace,"Lettucewich Caprese - REG-Avocado*","Food","FOOD",2/27/2018,1,1,1,0
317 Marketplace,"Lettucewich Chicken","Food","FOOD",2/27/2018,1,0,6,9551
317 Marketplace,"Lettucewich Surf & Turf","Food","FOOD",2/27/2018,1,6,6,9853
317 Marketplace,"Lettucewich Wicked","Food","FOOD",2/27/2018,2,13.5,13.5,9508
317 Marketplace,"Lettucewich Wicked - REG-Double Meat*","Food","FOOD",2/27/2018,2,4,4,0
317 Marketplace,"Light Mayo","Food","FOOD",2/27/2018,3,0,0,1545
317 Marketplace,"LRG Black Bean Patty","Food","FOOD",2/27/2018,1,8.5,8.5,70
317 Marketplace,"LRG Buffalo Chicken","Food","FOOD",2/27/2018,1,8.5,8.5,47
317 Marketplace,"LRG Chicken","Food","FOOD",2/27/2018,2,17,17,46
317 Marketplace,"LRG Chicken - LRG-Bacon","Food","FOOD",2/27/2018,1,1.5,1.5,0
317 Marketplace,"LRG Chicken Cordon Bleu","Food","FOOD",2/27/2018,1,8.5,8.5,50
317 Marketplace,"LRG Chicken Cordon Bleu - LRG-Bacon","Food","FOOD",2/27/2018,1,1.5,1.5,0
317 Marketplace,"LRG Chicken Pesto","Food","FOOD",2/27/2018,1,8.5,8.5,80
317 Marketplace,"LRG Chicken Salad","Food","FOOD",2/27/2018,1,2.13,8.5,88
317 Marketplace,"LRG Club","Food","FOOD",2/27/2018,2,17,17,7
317 Marketplace,"LRG Crab Salad","Food","FOOD",2/27/2018,1,8.5,8.5,57
317 Marketplace,"LRG Egg Salad","Food","FOOD",2/27/2018,1,8.5,8.5,87
317 Marketplace,"LRG French Dip","Food","FOOD",2/27/2018,4,34,34,10
317 Marketplace,"LRG Grinder","Food","FOOD",2/27/2018,4,34,34,76
317 Marketplace,"LRG Grinder - LRG-Bacon","Food","FOOD",2/27/2018,1,1.5,1.5,0
317 Marketplace,"LRG Ham","Food","FOOD",2/27/2018,4,0,0,26
317 Marketplace,"LRG Ham - LRG-Bacon","Food","FOOD",2/27/2018,1,1.5,1.5,0
317 Marketplace,"LRG Meatball","Food","FOOD",2/27/2018,1,8.5,8.5,77
317 Marketplace,"LRG Roast Beef","Food","FOOD",2/27/2018,1,2.5,8.5,36
317 Marketplace,"LRG Thank You Turkey","Food","FOOD",2/27/2018,1,2.5,8.5,18
317 Marketplace,"LRG The Avocado","Food","FOOD",2/27/2018,3,25.5,25.5,67
317 Marketplace,"LRG Turkey","Food","FOOD",2/27/2018,7,59.5,59.5,16
317 Marketplace,"LRG Turkey - LRG-Bacon","Food","FOOD",2/27/2018,1,1.5,1.5,0
317 Marketplace,"LRG Turkeywich","Food","FOOD",2/27/2018,1,8.5,8.5,19
317 Marketplace,"LRG Turkeywich - LRG-Bacon","Food","FOOD",2/27/2018,1,1.5,1.5,0
317 Marketplace,"LRG Wicked","Food","FOOD",2/27/2018,1,10,10,99
317 Marketplace,"Meatball Grinder","Food","FOOD",2/27/2018,1,7.75,7.75,382
317 Marketplace,"Milk","Beverages","NA BEVERAGE",2/27/2018,2,0,0,1360
317 Marketplace,"Mushrooms","Food","FOOD",2/27/2018,1,0,0,1680
317 Marketplace,"Oil","Food","FOOD",2/27/2018,1,0,0,1695
317 Marketplace,"Oregano","Food","FOOD",2/27/2018,2,0,0,1705
317 Marketplace,"PB & J","Food","FOOD",2/27/2018,1,5,5,1330
317 Marketplace,"Pepper","Food","FOOD",2/27/2018,6,0,0,1720
317 Marketplace,"Pepper Jack","Food","FOOD",2/27/2018,3,0,0,1480
317 Marketplace,"Philly Cheesesteak","Food","FOOD",2/27/2018,5,37.27,38.75,392
317 Marketplace,"Philly Cheesesteak - Make it a Large","Food","FOOD",2/27/2018,1,3,3,0
317 Marketplace,"Pickles","Food","FOOD",2/27/2018,2,0,0,1640
317 Marketplace,"Provolone","Food","FOOD",2/27/2018,4,0,0,1475
317 Marketplace,"PX Loyalty","Retail","RETAIL",2/27/2018,67,0,0,80020
317 Marketplace,"PX Point Accrual","Retail","RETAIL",2/27/2018,57,0,0,80010
317 Marketplace,"Quinoa","Food","FOOD",2/27/2018,1,0,0,1663
317 Marketplace,"Ranch","Food","FOOD",2/27/2018,1,0,0,1600
317 Marketplace,"Red Onions","Food","FOOD",2/27/2018,2,0,0,1620
317 Marketplace,"REG Black Bean Patty","Food","FOOD",2/27/2018,3,12,18,325
317 Marketplace,"REG Black Bean Patty - REG-Avocado","Food","FOOD",2/27/2018,1,1,1,0
317 Marketplace,"REG Buff Chicken","Food","FOOD",2/27/2018,8,30,30,230
317 Marketplace,"REG Caprese","Food","FOOD",2/27/2018,3,16.86,18,305
317 Marketplace,"REG Chicken","Food","FOOD",2/27/2018,10,54.72,60,225
317 Marketplace,"REG Chicken - REG-Avocado","Food","FOOD",2/27/2018,3,3,3,0
317 Marketplace,"REG Chicken - REG-Bacon","Food","FOOD",2/27/2018,1,0.81,1,0
317 Marketplace,"REG Chicken Cordon Bleu","Food","FOOD",2/27/2018,1,6,6,245
317 Marketplace,"REG Chicken Pesto","Food","FOOD",2/27/2018,2,12,12,365
317 Marketplace,"REG Chicken Salad","Food","FOOD",2/27/2018,1,6,6,395
317 Marketplace,"REG Club","Food","FOOD",2/27/2018,10,43.44,48,430
317 Marketplace,"REG Crab Salad","Food","FOOD",2/27/2018,2,12,12,270
317 Marketplace,"REG Egg Salad","Food","FOOD",2/27/2018,1,6,6,390
317 Marketplace,"REG Grinder","Food","FOOD",2/27/2018,9,51.72,54,345
317 Marketplace,"REG Ham","Food","FOOD",2/27/2018,9,30,36,145
317 Marketplace,"REG Meatball","Food","FOOD",2/27/2018,3,16.86,18,350
317 Marketplace,"REG Pepperoni Pizzawich","Food","FOOD",2/27/2018,1,6,6,360
317 Marketplace,"REG Roast Beef","Food","FOOD",2/27/2018,5,24,24,185
317 Marketplace,"REG Roast Beef - REG-Double Meat","Food","FOOD",2/27/2018,2,4,4,0
317 Marketplace,"REG Surf & Turf","Food","FOOD",2/27/2018,1,6,6,275
317 Marketplace,"REG Thank You Turkey","Food","FOOD",2/27/2018,2,12,12,115
317 Marketplace,"REG The Avocado","Food","FOOD",2/27/2018,2,12,12,310
317 Marketplace,"REG Tuna Salad","Food","FOOD",2/27/2018,3,8.72,18,265
317 Marketplace,"REG Tuna Salad - REG-Sliced Egg","Food","FOOD",2/27/2018,1,0.14,1,0
317 Marketplace,"REG Turkey","Food","FOOD",2/27/2018,29,146.6,162,105
317 Marketplace,"REG Turkey - REG-Avocado","Food","FOOD",2/27/2018,4,3.43,4,0
317 Marketplace,"REG Turkey - REG-Bacon","Food","FOOD",2/27/2018,7,5.38,7,0
317 Marketplace,"REG Turkeywich","Food","FOOD",2/27/2018,1,6,6,120
317 Marketplace,"REG Wicked","Food","FOOD",2/27/2018,10,69.3,70,98
317 Marketplace,"REG Wicked - REG-Avocado","Food","FOOD",2/27/2018,1,1,1,0
317 Marketplace,"REG Wicked - REG-Double Meat","Food","FOOD",2/27/2018,1,2,2,0
317 Marketplace,"Regular Mayo","Food","FOOD",2/27/2018,3,0,0,1540
317 Marketplace,"Roasted Red Peppers","Food","FOOD",2/27/2018,1,0,0,0
317 Marketplace,"Salt","Food","FOOD",2/27/2018,4,0,0,1715
317 Marketplace,"Signature Tray Large","Catering","CATERING",2/27/2018,2,198,220,7212
317 Marketplace,"SLD Buffalo Chicken","Food","FOOD",2/27/2018,1,7,7,1050
317 Marketplace,"SLD Chicken","Food","FOOD",2/27/2018,1,7,7,1045
317 Marketplace,"SLD Chicken - REG-Bacon","Food","FOOD",2/27/2018,1,1,1,0
317 Marketplace,"SLD Chicken - REG-Sliced Egg","Food","FOOD",2/27/2018,1,1,1,0
317 Marketplace,"SLD Chicken Salad","Food","FOOD",2/27/2018,1,7,7,1215
317 Marketplace,"SLD Club","Food","FOOD",2/27/2018,1,7,7,1250
317 Marketplace,"SLD Club - REG-Avocado","Food","FOOD",2/27/2018,1,1,1,0
317 Marketplace,"SLD Club - REG-Sliced Egg","Food","FOOD",2/27/2018,1,1,1,0
317 Marketplace,"Sliced Egg","Food","FOOD",2/27/2018,1,0,0,1426
317 Marketplace,"Soda","Beverages","NA BEVERAGE",2/27/2018,1,0,0,1375
317 Marketplace,"Spinach","Food","FOOD",2/27/2018,2,0,0,1656
317 Marketplace,"Stuffing","Food","FOOD",2/27/2018,1,0,0,1687
317 Marketplace,"SUP Muffuletta","Food","FOOD",2/27/2018,1,11.75,11.75,765
317 Marketplace,"SUP Wicked","Food","FOOD",2/27/2018,2,27.5,27.5,507
317 Marketplace,"SUP Wicked - SUP-Avocado","Food","FOOD",2/27/2018,1,2,2,0
317 Marketplace,"Superfood Wich","Food","FOOD",2/27/2018,6,43.54,46.5,2312
317 Marketplace,"The Reuben","Food","FOOD",2/27/2018,6,45.02,46.5,388
317 Marketplace,"Tomato","Food","FOOD",2/27/2018,7,0,0,1635
317 Marketplace,"Traditional Tray Regular","Catering","CATERING",2/27/2018,1,70,70,7010
317 Marketplace,"Tzatziki","Food","FOOD",2/27/2018,1,0,0,1602
317 Marketplace,"Ultimate BLT","Food","FOOD",2/27/2018,10,76.02,77.5,411
317 Marketplace,"Vinegar","Food","FOOD",2/27/2018,2,0,0,1700
317 Marketplace,"Wheat Bread","Food","FOOD",2/27/2018,5,0,0,1515
317 Marketplace,"White Bread","Food","FOOD",2/27/2018,5,0,0,1510
317 Marketplace,"Wrap Egg Salad","Food","FOOD",2/27/2018,1,6,6,9006
317 Marketplace,"Wrap Egg Salad - Courtney's Cookie","Food","FOOD",2/27/2018,1,1.5,1.5,0
317 Marketplace,"Yellow Mustard","Food","FOOD",2/27/2018,3,0,0,1520
