Location,Item,Sale Department,Master Sale Department,DOB,Quantity,Net Amount,Gross Amount,Item Number
317 Marketplace,"1000 Island","Food","FOOD",2/26/2018,1,0,0,1595
317 Marketplace,"16oz Shake","Beverages","NA BEVERAGE",2/26/2018,13,42.25,42.25,342
317 Marketplace,"16oz Shake - 16oz Chocolate","Beverages","NA BEVERAGE",2/26/2018,5,0,0,0
317 Marketplace,"16oz Shake - 16oz Oreo","Beverages","NA BEVERAGE",2/26/2018,3,0,0,0
317 Marketplace,"16oz Shake - 16oz Strawberry","Beverages","NA BEVERAGE",2/26/2018,4,0,0,0
317 Marketplace,"16oz Shake - 16oz Vanilla","Beverages","NA BEVERAGE",2/26/2018,1,0,0,0
317 Marketplace,"22oz Fountain Drink","Beverages","NA BEVERAGE",2/26/2018,37,70,74,251
317 Marketplace,"32oz  Fountain Drink","Beverages","NA BEVERAGE",2/26/2018,15,27,33.75,1752
317 Marketplace,"32oz Refill","Beverages","NA BEVERAGE",2/26/2018,4,7,7,644
317 Marketplace,"American","Food","FOOD",2/26/2018,2,0,0,1460
317 Marketplace,"Balsamic Vinagrette","Food","FOOD",2/26/2018,1,0,0,1567
317 Marketplace,"Banana Peppers","Food","FOOD",2/26/2018,8,0,0,1666
317 Marketplace,"Bell Peppers","Food","FOOD",2/26/2018,3,0,0,1665
317 Marketplace,"Black Olives","Food","FOOD",2/26/2018,5,0,0,1670
317 Marketplace,"Blue Cheese","Food","FOOD",2/26/2018,2,0,0,1462
317 Marketplace,"Bottled Water","Beverages","NA BEVERAGE",2/26/2018,1,1.75,1.75,1760
317 Marketplace,"Buffalo","Food","FOOD",2/26/2018,1,0,0,1570
317 Marketplace,"Caramel Onion","Food","FOOD",2/26/2018,1,0,0,1615
317 Marketplace,"Cheddar","Food","FOOD",2/26/2018,4,0,0,1470
317 Marketplace,"Cheese Pizza","Food","FOOD",2/26/2018,1,5,5,1345
317 Marketplace,"Chipotle Mayo","Food","FOOD",2/26/2018,1,0,0,1547
317 Marketplace,"Chips","Food","FOOD",2/26/2018,68,80.63,85,1425
317 Marketplace,"Choc Milk","Beverages","NA BEVERAGE",2/26/2018,1,0,0,1365
317 Marketplace,"Cobb Salad Wrap","Food","FOOD",2/26/2018,4,30,30,2324
317 Marketplace,"Courtney's Cake","Food","FOOD",2/26/2018,4,7.8,7.8,60001
317 Marketplace,"Courtney's Cookie","Food","FOOD",2/26/2018,5,6,7.5,1447
317 Marketplace,"Crispy Strings","Food","FOOD",2/26/2018,1,0,0,1625
317 Marketplace,"Cucumbers","Food","FOOD",2/26/2018,4,0,0,1650
317 Marketplace,"Dozen Chips","Catering","CATERING",2/26/2018,1,15,15,1870
317 Marketplace,"Dozen Cookies","Catering","CATERING",2/26/2018,1,15,15,1507
317 Marketplace,"Drink","Beverages","NA BEVERAGE",2/26/2018,10,0,0,1746
317 Marketplace,"Drink - 22oz Fountain Drink","Beverages","NA BEVERAGE",2/26/2018,7,9,14,0
317 Marketplace,"Drink - 32oz  Fountain Drink","Beverages","NA BEVERAGE",2/26/2018,3,6.75,6.75,0
317 Marketplace,"Garlic","Food","FOOD",2/26/2018,2,0,0,1725
317 Marketplace,"Gyro Favorite","Food","FOOD",2/26/2018,4,31,31,386
317 Marketplace,"Ham","Food","FOOD",2/26/2018,1,0,0,145
317 Marketplace,"Honey Mustard","Food","FOOD",2/26/2018,1,0,0,1530
317 Marketplace,"Hotwich","Food","FOOD",2/26/2018,14,0,0,1731
317 Marketplace,"House Chips","Food","FOOD",2/26/2018,3,0,0,1981
317 Marketplace,"Italian Club","Food","FOOD",2/26/2018,1,7.75,7.75,2314
317 Marketplace,"Jalapenos","Food","FOOD",2/26/2018,1,0,0,1660
317 Marketplace,"Juice","Beverages","NA BEVERAGE",2/26/2018,1,0,0,1370
317 Marketplace,"Kidswich","Food","FOOD",2/26/2018,2,7.5,10,1325
317 Marketplace,"Lettuce","Food","FOOD",2/26/2018,9,0,0,1630
317 Marketplace,"Lettucewich Chicken","Food","FOOD",2/26/2018,1,6,6,9551
317 Marketplace,"Lettucewich Chicken - REG-Bacon*","Food","FOOD",2/26/2018,1,1,1,0
317 Marketplace,"Lettucewich Turkey","Food","FOOD",2/26/2018,1,6,6,9601
317 Marketplace,"Lettucewich Turkey - REG-Avocado*","Food","FOOD",2/26/2018,1,1,1,0
317 Marketplace,"Lettucewich Turkey - REG-Bacon*","Food","FOOD",2/26/2018,1,1,1,0
317 Marketplace,"Light Mayo","Food","FOOD",2/26/2018,1,0,0,1545
317 Marketplace,"LRG Black Bean Patty","Food","FOOD",2/26/2018,1,8.5,8.5,70
317 Marketplace,"LRG Buffalo Chicken","Food","FOOD",2/26/2018,6,51,51,47
317 Marketplace,"LRG Chicken","Food","FOOD",2/26/2018,3,25.5,25.5,46
317 Marketplace,"LRG Chicken - LRG-Avocado","Food","FOOD",2/26/2018,1,1.5,1.5,0
317 Marketplace,"LRG Chicken - LRG-Bacon","Food","FOOD",2/26/2018,1,1.5,1.5,0
317 Marketplace,"LRG Chicken Pesto","Food","FOOD",2/26/2018,1,0.99,8.5,80
317 Marketplace,"LRG Club","Food","FOOD",2/26/2018,2,17,17,7
317 Marketplace,"LRG Grinder","Food","FOOD",2/26/2018,3,25.5,25.5,76
317 Marketplace,"LRG Ham","Food","FOOD",2/26/2018,1,8.5,8.5,26
317 Marketplace,"LRG Ham - LRG-Double Meat","Food","FOOD",2/26/2018,1,3,3,0
317 Marketplace,"LRG Roast Beef","Food","FOOD",2/26/2018,1,8.5,8.5,36
317 Marketplace,"LRG Roast Beef - LRG-Double Cheese","Food","FOOD",2/26/2018,1,1.5,1.5,0
317 Marketplace,"LRG Roast Beef - LRG-Double Meat","Food","FOOD",2/26/2018,1,3,3,0
317 Marketplace,"LRG Tuna Salad","Food","FOOD",2/26/2018,1,2.5,8.5,56
317 Marketplace,"LRG Turkey","Food","FOOD",2/26/2018,7,53.5,59.5,16
317 Marketplace,"LRG Turkey - LRG-Avocado","Food","FOOD",2/26/2018,1,1.5,1.5,0
317 Marketplace,"LRG Turkey - LRG-Double Meat","Food","FOOD",2/26/2018,1,3,3,0
317 Marketplace,"LRG Turkeywich","Food","FOOD",2/26/2018,1,8.5,8.5,19
317 Marketplace,"LRG Turkeywich - LRG-Double Meat","Food","FOOD",2/26/2018,1,3,3,0
317 Marketplace,"LRG Wicked","Food","FOOD",2/26/2018,4,40,40,99
317 Marketplace,"Marinara","Food","FOOD",2/26/2018,1,0,0,1575
317 Marketplace,"Meatball Grinder","Food","FOOD",2/26/2018,6,38.75,46.5,382
317 Marketplace,"Mozzarella","Food","FOOD",2/26/2018,2,0,0,1485
317 Marketplace,"Oil","Food","FOOD",2/26/2018,3,0,0,1695
317 Marketplace,"Olive Salad","Food","FOOD",2/26/2018,1,0,0,1675
317 Marketplace,"Oregano","Food","FOOD",2/26/2018,6,0,0,1705
317 Marketplace,"Pepper","Food","FOOD",2/26/2018,7,0,0,1720
317 Marketplace,"Pepper Jack","Food","FOOD",2/26/2018,4,0,0,1480
317 Marketplace,"Pesto","Food","FOOD",2/26/2018,2,0,0,1580
